N,contract,rate,q,sigma,maturity,max_abs_x_error,max_ulp_x_error,signed_mean_x_error,positive_count,negative_count,worst_payload,formerly_hard_tail
2,0,-0.02,0.01,0.050000000000000003,0.25,3.9800542991735935e-09,194,-4.529063469299414e-13,4084,4108,4096,yes
2,1,0,0,0.40000000000000002,0.25,3.0802390974310962e-08,165,5.4604394152471126e-11,4040,4152,5568,no
2,2,0.029999999999999999,0,0.20000000000000001,1,3.4889912070343779e-08,2827,-3.9552517281857674e-11,4038,4154,8191,yes
2,3,0.029999999999999999,0.01,0.050000000000000003,5,1.9731937580684731e-08,1492,2.7519976725043733e-11,4113,4079,6741,no
3,0,-0.02,0.01,0.050000000000000003,0.25,3.3601186518984094e-09,1250,-3.863335992053711e-12,4064,4128,5503,no
3,1,0,0,0.40000000000000002,0.25,2.7972590622130281e-08,103,-3.9913497123791541e-11,4067,4125,4864,no
3,2,0.029999999999999999,0,0.20000000000000001,1,2.8364013961168535e-08,154,1.3106230373480589e-11,4113,4079,6912,no
3,3,0.029999999999999999,0.01,0.050000000000000003,5,1.3666952881202439e-08,1721,6.9102416596193836e-12,4056,4136,1365,yes
4,0,-0.02,0.01,0.050000000000000003,0.25,3.2791372706964335e-09,1914,-1.8653462818223067e-11,3950,4242,3199,no
4,1,0,0,0.40000000000000002,0.25,2.4082625734583594e-08,333,4.6533898827905053e-11,4157,4035,7679,yes
4,2,0.029999999999999999,0,0.20000000000000001,1,2.5219077203971099e-08,136,2.271622876947034e-11,4042,4150,4864,no
4,3,0.029999999999999999,0.01,0.050000000000000003,5,1.3008338074929918e-08,305,-2.1022497107996322e-11,4086,4106,3733,no
5,0,-0.02,0.01,0.050000000000000003,0.25,2.4790930452929909e-09,1207,-8.2328798450062296e-13,4090,4102,5119,yes
5,1,0,0,0.40000000000000002,0.25,2.1877134836098798e-08,47,-1.5997331388845047e-11,4073,4119,2048,yes
5,2,0.029999999999999999,0,0.20000000000000001,1,2.1627567160926623e-08,78,-2.8527197422462103e-11,4070,4122,1365,yes
5,3,0.029999999999999999,0.01,0.050000000000000003,5,1.2080096596900722e-08,1856,-2.9221605754975507e-11,4038,4154,5119,yes
6,0,-0.02,0.01,0.050000000000000003,0.25,2.6406289695681757e-09,150,-2.0159523795490715e-12,4083,4109,4095,yes
6,1,0,0,0.40000000000000002,0.25,2.044256427958534e-08,54,-1.3474534436473166e-13,4100,4092,1365,yes
6,2,0.029999999999999999,0,0.20000000000000001,1,1.703228467975851e-08,75,5.8890472314952155e-12,4150,4042,2730,yes
6,3,0.029999999999999999,0.01,0.050000000000000003,5,1.2026999773215886e-08,596,-1.3052321581704462e-11,4071,4121,3413,yes
7,0,-0.02,0.01,0.050000000000000003,0.25,2.22348153775692e-09,258,6.9903853897306373e-12,4113,4079,1365,yes
7,1,0,0,0.40000000000000002,0.25,1.8354630493979225e-08,3883,-4.6677565194305309e-12,4101,4091,0,yes
7,2,0.029999999999999999,0,0.20000000000000001,1,1.6041622474651337e-08,65,-1.1473172125478726e-11,4089,4103,1365,yes
7,3,0.029999999999999999,0.01,0.050000000000000003,5,1.023796971570728e-08,2473,1.5739061385387124e-11,4100,4092,3925,yes
8,0,-0.02,0.01,0.050000000000000003,0.25,1.9900271495867967e-09,1018,5.8556394674586883e-13,4098,4094,4096,yes
8,1,0,0,0.40000000000000002,0.25,1.5665107213594041e-08,1374,8.5826191051752879e-12,4124,4068,6912,no
8,2,0.029999999999999999,0,0.20000000000000001,1,1.8609109253441237e-08,92,-1.1165864992850253e-11,4115,4077,8191,yes
8,3,0.029999999999999999,0.01,0.050000000000000003,5,8.7708318515543151e-09,1022,-4.2503826098548111e-12,4103,4089,8191,yes
9,0,-0.02,0.01,0.050000000000000003,0.25,1.8618946590725611e-09,272,-3.3248097199603548e-12,4059,4133,3199,no
9,1,0,0,0.40000000000000002,0.25,1.6431001852569949e-08,134,-2.8060141882753089e-11,4067,4125,2730,yes
9,2,0.029999999999999999,0,0.20000000000000001,1,1.5097190429688628e-08,292,-1.4414820898507332e-11,4124,4068,6527,no
9,3,0.029999999999999999,0.01,0.050000000000000003,5,8.0769884984337928e-09,1596,-8.8042692763030521e-12,4091,4101,2730,yes
10,0,-0.02,0.01,0.050000000000000003,0.25,1.7670266574758408e-09,566,-1.1211839509851203e-12,4139,4053,512,yes
10,1,0,0,0.40000000000000002,0.25,1.403456382104111e-08,354,9.1101911590201327e-12,4107,4085,6527,no
10,2,0.029999999999999999,0,0.20000000000000001,1,1.3956442973143464e-08,66,-8.9408972427846719e-12,4081,4111,1621,no
10,3,0.029999999999999999,0.01,0.050000000000000003,5,7.5921100052605806e-09,2767,-1.1076843378207099e-11,4147,4045,2730,yes
11,0,-0.02,0.01,0.050000000000000003,0.25,1.6268991466881293e-09,4037,-2.0266870206082987e-12,4068,4124,1920,no
11,1,0,0,0.40000000000000002,0.25,1.4574947255070505e-08,758,4.6669400641471349e-11,4116,4076,3199,no
