N,contract,rate,q,sigma,maturity,max_abs_x3_difference,max_ulp_x3_difference,signed_mean_x3_difference,positive_count,negative_count,worst_payload,formerly_hard_tail
2,0,-0.02,0.01,0.050000000000000003,0.25,7.4505805969238281e-09,740,2.4700991252402105e-11,1843,1668,810,no
2,1,0,0,0.40000000000000002,0.25,1.1920928955078125e-07,183,2.104754148746224e-10,1755,1590,2730,yes
2,2,0.029999999999999999,0,0.20000000000000001,1,1.1920928955078125e-07,5089,2.6199330899201456e-10,1762,1579,8191,yes
2,3,0.029999999999999999,0.01,0.050000000000000003,5,5.9604644775390625e-08,1164,9.0704110888850664e-11,1774,1800,8191,yes
3,0,-0.02,0.01,0.050000000000000003,0.25,7.4505805969238281e-09,6199,1.1312990474965368e-11,1779,1677,2730,yes
3,1,0,0,0.40000000000000002,0.25,5.9604644775390625e-08,259,5.0342480184539795e-11,1747,1617,2730,yes
3,2,0.029999999999999999,0,0.20000000000000001,1,5.9604644775390625e-08,132,1.8130075218891761e-10,1722,1607,2730,yes
3,3,0.029999999999999999,0.01,0.050000000000000003,5,2.9802322387695312e-08,14581,6.5024392120749397e-11,1807,1808,1365,yes
4,0,-0.02,0.01,0.050000000000000003,0.25,7.4505805969238281e-09,555,1.6715951539625351e-11,1736,1657,2730,yes
4,1,0,0,0.40000000000000002,0.25,5.9604644775390625e-08,666,9.3124508104835968e-11,1706,1603,2730,yes
4,2,0.029999999999999999,0,0.20000000000000001,1,5.9604644775390625e-08,59,8.900175041404168e-11,1724,1617,2730,yes
4,3,0.029999999999999999,0.01,0.050000000000000003,5,2.9802322387695312e-08,569,2.2626567286465615e-11,1821,1813,2730,yes
5,0,-0.02,0.01,0.050000000000000003,0.25,7.4505805969238281e-09,1898,4.5848463914310855e-12,1781,1684,8191,yes
5,1,0,0,0.40000000000000002,0.25,2.9802322387695312e-08,40,1.0167833242036295e-10,1747,1621,0,yes
5,2,0.029999999999999999,0,0.20000000000000001,1,5.9604644775390625e-08,65,6.2490568275563874e-11,1741,1621,2730,yes
5,3,0.029999999999999999,0.01,0.050000000000000003,5,2.9802322387695312e-08,2597,4.335549974587849e-11,1782,1741,2730,yes
6,0,-0.02,0.01,0.050000000000000003,0.25,3.7252902984619141e-09,597,1.1958614654083988e-11,1847,1697,0,yes
6,1,0,0,0.40000000000000002,0.25,2.9802322387695312e-08,624,9.3281382618215503e-11,1791,1557,0,yes
6,2,0.029999999999999999,0,0.20000000000000001,1,2.9802322387695312e-08,45,7.7837014611503719e-11,1777,1629,0,yes
6,3,0.029999999999999999,0.01,0.050000000000000003,5,2.9802322387695312e-08,469,5.887926257663878e-11,1874,1791,8191,yes
7,0,-0.02,0.01,0.050000000000000003,0.25,3.7252902984619141e-09,238,2.4363996931064946e-11,1877,1593,149,no
7,1,0,0,0.40000000000000002,0.25,5.9604644775390625e-08,2511,8.6073063607083888e-11,1801,1571,8191,yes
7,2,0.029999999999999999,0,0.20000000000000001,1,2.9802322387695312e-08,49,5.6841753526271077e-12,1680,1683,149,no
7,3,0.029999999999999999,0.01,0.050000000000000003,5,2.9802322387695312e-08,512,3.1681740564337701e-11,1732,1760,8191,yes
8,0,-0.02,0.01,0.050000000000000003,0.25,3.7252902984619141e-09,180,1.2996242970686467e-11,1803,1609,810,no
8,1,0,0,0.40000000000000002,0.25,2.9802322387695312e-08,5089,-7.5158629320171144e-14,1687,1639,810,no
8,2,0.029999999999999999,0,0.20000000000000001,1,5.9604644775390625e-08,73,1.376260772012472e-10,1797,1544,8191,yes
8,3,0.029999999999999999,0.01,0.050000000000000003,5,2.9802322387695312e-08,533,6.0430938031430514e-11,1833,1719,8191,yes
9,0,-0.02,0.01,0.050000000000000003,0.25,3.7252902984619141e-09,553,9.2061150369637801e-12,1771,1641,2133,no
9,1,0,0,0.40000000000000002,0.25,2.9802322387695312e-08,235,7.1609385088322597e-13,1708,1607,2133,no
9,2,0.029999999999999999,0,0.20000000000000001,1,5.9604644775390625e-08,1026,7.9163578470264895e-11,1729,1612,2730,yes
9,3,0.029999999999999999,0.01,0.050000000000000003,5,1.4901161193847656e-08,901,1.5955986532034672e-11,1795,1798,170,yes
10,0,-0.02,0.01,0.050000000000000003,0.25,3.7252902984619141e-09,2757,1.235770166752026e-12,1774,1733,85,no
10,1,0,0,0.40000000000000002,0.25,2.9802322387695312e-08,125,1.0953757345610882e-10,1764,1512,2730,yes
10,2,0.029999999999999999,0,0.20000000000000001,1,2.9802322387695312e-08,292,6.5186189779353754e-11,1745,1558,2730,yes
10,3,0.029999999999999999,0.01,0.050000000000000003,5,1.4901161193847656e-08,2408,4.9354909048560103e-11,1795,1740,1024,yes
11,0,-0.02,0.01,0.050000000000000003,0.25,3.7252902984619141e-09,5938,-4.9943322047441008e-12,1705,1659,2730,yes
11,1,0,0,0.40000000000000002,0.25,2.9802322387695312e-08,391,1.5396486516272567e-10,1802,1529,1152,no
11,2,0.029999999999999999,0,0.20000000000000001,1,2.9802322387695312e-08,123,-8.0910278477119846e-12,1714,1627,2730,yes
11,3,0.029999999999999999,0.01,0.050000000000000003,5,1.4901161193847656e-08,2260,2.8725105627458447e-11,1783,1723,149,no
12,0,-0.02,0.01,0.050000000000000003,0.25,3.7252902984619141e-09,2919,1.3631417175585803e-11,1847,1620,2730,yes
12,1,0,0,0.40000000000000002,0.25,2.9802322387695312e-08,132,1.5133228004060584e-11,1732,1603,2730,yes
12,2,0.029999999999999999,0,0.20000000000000001,1,2.9802322387695312e-08,64,1.4657053348798854e-10,1746,1482,2730,yes
12,3,0.029999999999999999,0.01,0.050000000000000003,5,1.4901161193847656e-08,6125,4.2294744095894288e-11,1804,1762,1642,no
